Link,Image,Tên nhà hàng,Loại hình,Phong cách món ăn,Đối tượng phù hợp,Đánh giá trung bình,Tổng số bình luận,Bình luận tuyệt vời,Bình luận khá tốt,Bình luận trung bình,Bình luận kém,Điểm không gian,Điểm vị trí,Điểm chất lượng,Điểm phục vụ,Điểm giá cả,Đường,Quận,Thành phố,Giờ mở cửa,Khoảng giá,Restaurant ID
https://www.foody.vn/ha-noi/tam-phuong-quan-am-thuc-viet,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwe6a11w7zdl63@resize_ss576x330,Tâm Phương Quán - Ẩm Thực Việt,Nhà hàng,Món Việt,"Gia đình, Giới văn phòng, Khách du lịch",7.9,11,1,9,1,0,8.3,7.6,8.2,8.2,7.2,9 Ngõ 89 Xã Đàn,Quận Đống Đa,Hà Nội,10:00 - 14:00 | 17:00 - 02:00,50.000đ - 500.000đ,2728
https://www.foody.vn/ha-noi/com-ga-doi-phu-tho,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8l24zy92hl05@resize_ss576x330,Cơm Gà Đồi Phú Thọ,Quán ăn,Món Việt,"Cặp đôi, Gia đình, Nhóm hội",9.4,71,65,0,0,6,9.4,9.7,9.2,9.4,9.3,Ngách 62 Số Nhà 89 Ngõ Thái Thịnh 1,Quận Đống Đa,Hà Nội,10:00 - 22:00,15.000đ - 35.000đ,837
https://www.foody.vn/ha-noi/hanh-beo-vit-nuong,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwcjdhpvlbrvd3@resize_ss576x330,Hạnh Béo - Vịt Nướng,"Quán ăn, Ăn vặt/vỉa hè",Món Việt,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội",6.8,19,1,13,1,4,5.8,7.3,6.8,7.1,6.7,"108 Nguyễn Khang, Yên Hòa",Quận Cầu Giấy,Hà Nội,10:00 - 23:00,10.000đ - 300.000đ,1264
https://www.foody.vn/ha-noi/hai-san-cua-bay,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8bmv7xmxujbe@resize_ss800x450,Hải Sản Cua Bay,Nhà hàng,Món Việt,"Gia đình, Nhóm hội, Giới văn phòng",7.7,26,13,7,0,6,7.9,7.6,7.7,7.9,7.4,"2A Ngõ 44 Đỗ Quang, P. Trung Hòa",Quận Cầu Giấy,Hà Nội,10:00 - 22:30,50.000đ - 250.000đ,1270
https://www.foody.vn/ha-noi/che-buoi-ba-trieu,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw98u301ous9be@resize_ss576x330,Chè Bưởi - Bà Triệu,Ăn vặt/vỉa hè,Món Việt,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội",6.6,24,0,11,11,2,5.9,6.8,6.4,6.5,7.3,"Vỉa Hè 292 Bà Triệu, P. Lê Đại Hành",Quận Hai Bà Trưng,Hà Nội,,15.000đ - 30.000đ,703
https://www.foody.vn/ha-noi/rome-deli-italian-foods,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8blyjhgjbtb8@resize_ss800x450,Rome Deli - Italian Foods,Quán ăn,Quốc tế,"Cặp đôi, Gia đình, Nhóm hội",7.1,41,3,25,10,3,7.7,7.1,7.1,7.1,6.7,"1 Tràng Tiền, P. Phan Chu Trinh",Quận Hoàn Kiếm,Hà Nội,09:00 - 22:00,150.000đ - 500.000đ,2218
https://www.foody.vn/ha-noi/vietnam-938-nha-hang-da-su,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwanzfm6bvmhbb@resize_ss576x330,Vietnam 938 - Nhà Hàng Dã Sử - Núi Trúc,Nhà hàng,Món Bắc,,8.4,24,8,15,1,0,8.6,7.8,8.8,8.8,8.1,5 Ngõ 57 Núi Trúc,Quận Ba Đình,Hà Nội,10:00 - 23:00,20.000đ - 500.000đ,2775
https://www.foody.vn/ha-noi/banh-mi-thang-thanh-me-tri,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwawani50jx777@resize_ss576x330,Bánh Mì Thắng Thanh - Mễ Trì,Ăn vặt/vỉa hè,Món Việt,"Sinh viên, Giới văn phòng",9.7,26,23,2,1,0,9.7,9.7,9.8,9.5,9.7,24 Ngõ 59 Mễ Trì,Quận Nam Từ Liêm,Hà Nội,06:00 - 23:00,15.000đ - 50.000đ,298
https://www.foody.vn/ha-noi/chay-may-tuy-duyen-buffet-lau-chay-com-chay-goi-mon-so-9-ngo-42-vu-ngoc-phan,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvg94twksd592@resize_ss576x330,"Chay Mây Tùy Duyên - Buffet, Lẩu Chay & Cơm Chay Gọi Món - Số 9 Ngõ 42 Vũ Ngọc Phan",Ăn chay,Món Việt,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"9 Ngõ 42 Vũ Ngọc Phan, P. Láng Hạ",Quận Đống Đa,Hà Nội,08:00 - 21:00,,622
https://www.foody.vn/ha-noi/banh-ga-me-ong-hoang-quoc-viet,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw98jbf6v5y391@resize_ss576x330,Bánh Gà Mẹ Ong - Hoàng Quốc Việt,Ăn vặt/vỉa hè,Món Việt,"Sinh viên, Cặp đôi, Nhóm hội",7.1,18,1,10,6,1,6.6,6.7,7.3,7.5,7.2,"7 A8B Ngõ 120 Hoàng Quốc Việt, P. Nghĩa Tân",Quận Cầu Giấy,Hà Nội,09:00 - 19:00,30.000đ - 30.000đ,234
